discharge 1300mAh 
00:09:31,1,1,1970|DIS|PWM: 0|Batt: 1.387|Load: 1.084|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.392
00:09:39,1,1,1970|DIS|PWM: 0|Batt: 1.392|Load: 1.089|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.392
00:09:46,1,1,1970|DIS|PWM: 0|Batt: 1.392|Load: 1.089|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.392
00:09:54,1,1,1970|DIS|PWM: 0|Batt: 1.387|Load: 1.089|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.391
00:10:02,1,1,1970|DIS|PWM: 0|Batt: 1.382|Load: 1.089|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.389
00:10:10,1,1,1970|DIS|PWM: 0|Batt: 1.387|Load: 1.084|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.389
00:10:17,1,1,1970|DIS|PWM: 0|Batt: 1.387|Load: 1.084|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.389
00:10:25,1,1,1970|DIS|PWM: 0|Batt: 1.382|Load: 1.084|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.387
00:10:33,1,1,1970|DIS|PWM: 0|Batt: 1.382|Load: 1.084|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.386
00:10:40,1,1,1970|DIS|PWM: 0|Batt: 1.382|Load: 1.079|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.385
00:10:48,1,1,1970|DIS|PWM: 0|Batt: 1.382|Load: 1.084|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.508|Bavg: 1.384
00:10:56,1,1,1970|DIS|PWM: 0|Batt: 1.382|Load: 1.079|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.508|Bavg: 1.383
00:11:04,1,1,1970|DIS|PWM: 0|Batt: 1.382|Load: 1.084|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.383
00:11:11,1,1,1970|DIS|PWM: 0|Batt: 1.387|Load: 1.084|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.383
00:11:19,1,1,1970|DIS|PWM: 0|Batt: 1.387|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.383
00:11:27,1,1,1970|DIS|PWM: 0|Batt: 1.387|Load: 1.084|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.508|Bavg: 1.384
00:11:35,1,1,1970|DIS|PWM: 0|Batt: 1.377|Load: 1.079|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.383
00:11:42,1,1,1970|DIS|PWM: 0|Batt: 1.377|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.382
00:11:50,1,1,1970|DIS|PWM: 0|Batt: 1.377|Load: 1.079|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.382
00:11:58,1,1,1970|DIS|PWM: 0|Batt: 1.377|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.381
00:12:05,1,1,1970|DIS|PWM: 0|Batt: 1.382|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.381
00:12:13,1,1,1970|DIS|PWM: 0|Batt: 1.377|Load: 1.079|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.380
00:12:21,1,1,1970|DIS|PWM: 0|Batt: 1.382|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.379
00:12:29,1,1,1970|DIS|PWM: 0|Batt: 1.377|Load: 1.079|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.532|Bavg: 1.378
00:12:36,1,1,1970|DIS|PWM: 0|Batt: 1.382|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.379
00:12:44,1,1,1970|DIS|PWM: 0|Batt: 1.377|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.379
00:12:52,1,1,1970|DIS|PWM: 0|Batt: 1.372|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.378
00:12:59,1,1,1970|DIS|PWM: 0|Batt: 1.372|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.532|Bavg: 1.378
00:13:07,1,1,1970|DIS|PWM: 0|Batt: 1.377|Load: 1.079|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.547|Bavg: 1.377
00:13:15,1,1,1970|DIS|PWM: 0|Batt: 1.382|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.378
00:13:23,1,1,1970|DIS|PWM: 0|Batt: 1.377|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.377
00:13:30,1,1,1970|DIS|PWM: 0|Batt: 1.372|Load: 1.069|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.503|Bavg: 1.376
00:13:38,1,1,1970|DIS|PWM: 0|Batt: 1.377|Load: 1.069|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.376
00:13:46,1,1,1970|DIS|PWM: 0|Batt: 1.372|Load: 1.069|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.513|Bavg: 1.375
00:13:53,1,1,1970|DIS|PWM: 0|Batt: 1.372|Load: 1.069|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.518|Bavg: 1.375
