charge 1300mAh 
PWM: 1
PWM: 2
PWM: 3
START
00:08:13,1,1,1970|CHG|PWM: 23|Batt: 1.362|Load: 1.777|diff: 0.065|Iset: 2.000|Ichg: 2.065|Idis: 2.354|Bavg: 1.362
00:08:21,1,1,1970|CHG|PWM: 23|Batt: 1.362|Load: 1.782|diff: 0.065|Iset: 2.000|Ichg: 2.065|Idis: 2.354|Bavg: 1.362
00:08:29,1,1,1970|CHG|PWM: 23|Batt: 1.362|Load: 1.836|diff: 0.129|Iset: 2.000|Ichg: 2.129|Idis: 2.324|Bavg: 1.362
00:08:37,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.709|diff: -0.159|Iset: 2.000|Ichg: 1.841|Idis: 2.319|Bavg: 1.363
00:08:45,1,1,1970|CHG|PWM: 23|Batt: 1.362|Load: 1.611|diff: 0.070|Iset: 2.000|Ichg: 2.070|Idis: 2.334|Bavg: 1.363
00:08:53,1,1,1970|CHG|PWM: 23|Batt: 1.372|Load: 1.606|diff: 0.085|Iset: 2.000|Ichg: 2.085|Idis: 2.329|Bavg: 1.364
00:09:01,1,1,1970|CHG|PWM: 23|Batt: 1.362|Load: 1.724|diff: -0.013|Iset: 2.000|Ichg: 1.987|Idis: 2.339|Bavg: 1.364
00:09:09,1,1,1970|CHG|PWM: 24|Batt: 1.362|Load: 1.763|diff: -0.105|Iset: 2.000|Ichg: 1.895|Idis: 2.329|Bavg: 1.364
00:09:17,1,1,1970|CHG|PWM: 24|Batt: 1.362|Load: 1.758|diff: -0.130|Iset: 2.000|Ichg: 1.870|Idis: 2.324|Bavg: 1.364
00:09:25,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.597|diff: -0.164|Iset: 2.000|Ichg: 1.836|Idis: 2.295|Bavg: 1.365
00:09:33,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.826|diff: 0.070|Iset: 2.000|Ichg: 2.070|Idis: 2.324|Bavg: 1.367
00:09:41,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.616|diff: 0.036|Iset: 2.000|Ichg: 2.036|Idis: 2.314|Bavg: 1.367
00:09:49,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.626|diff: 0.139|Iset: 2.000|Ichg: 2.139|Idis: 2.349|Bavg: 1.368
00:09:57,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.606|diff: 0.007|Iset: 2.000|Ichg: 2.007|Idis: 2.329|Bavg: 1.367
00:10:05,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.826|diff: 0.075|Iset: 2.000|Ichg: 2.075|Idis: 2.319|Bavg: 1.368
00:10:13,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.621|diff: 0.085|Iset: 2.000|Ichg: 2.085|Idis: 2.339|Bavg: 1.368
00:10:21,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.606|diff: -0.071|Iset: 2.000|Ichg: 1.929|Idis: 2.324|Bavg: 1.370
00:10:29,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.621|diff: 0.095|Iset: 2.000|Ichg: 2.095|Idis: 2.349|Bavg: 1.369
00:10:36,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.733|diff: -0.032|Iset: 2.000|Ichg: 1.968|Idis: 2.344|Bavg: 1.369
00:10:44,1,1,1970|CHG|PWM: 25|Batt: 1.367|Load: 1.631|diff: 0.158|Iset: 2.000|Ichg: 2.158|Idis: 2.344|Bavg: 1.369
00:10:52,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.621|diff: 0.085|Iset: 2.000|Ichg: 2.085|Idis: 2.339|Bavg: 1.368
00:11:00,1,1,1970|CHG|PWM: 25|Batt: 1.372|Load: 1.611|diff: -0.013|Iset: 2.000|Ichg: 1.987|Idis: 2.334|Bavg: 1.369
00:11:08,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.821|diff: 0.075|Iset: 2.000|Ichg: 2.075|Idis: 2.324|Bavg: 1.369
00:11:16,1,1,1970|CHG|PWM: 25|Batt: 1.367|Load: 1.636|diff: 0.202|Iset: 2.000|Ichg: 2.202|Idis: 2.363|Bavg: 1.369
00:11:24,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.626|diff: 0.070|Iset: 2.000|Ichg: 2.070|Idis: 2.329|Bavg: 1.368
00:11:32,1,1,1970|CHG|PWM: 23|Batt: 1.372|Load: 1.782|diff: 0.036|Iset: 2.000|Ichg: 2.036|Idis: 2.354|Bavg: 1.369
00:11:40,1,1,1970|CHG|PWM: 23|Batt: 1.377|Load: 1.836|diff: 0.119|Iset: 2.000|Ichg: 2.119|Idis: 2.334|Bavg: 1.370
00:11:48,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.812|diff: -0.120|Iset: 2.000|Ichg: 1.880|Idis: 2.314|Bavg: 1.370
00:11:56,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.626|diff: 0.056|Iset: 2.000|Ichg: 2.056|Idis: 2.334|Bavg: 1.371
00:12:04,1,1,1970|CHG|PWM: 23|Batt: 1.372|Load: 1.621|diff: 0.109|Iset: 2.000|Ichg: 2.109|Idis: 2.349|Bavg: 1.371
00:12:12,1,1,1970|CHG|PWM: 23|Batt: 1.372|Load: 1.821|diff: 0.012|Iset: 2.000|Ichg: 2.012|Idis: 2.319|Bavg: 1.371
00:12:20,1,1,1970|CHG|PWM: 23|Batt: 1.372|Load: 1.733|diff: -0.071|Iset: 2.000|Ichg: 1.929|Idis: 2.339|Bavg: 1.372
00:12:28,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.621|diff: 0.056|Iset: 2.000|Ichg: 2.056|Idis: 2.329|Bavg: 1.372
00:12:36,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.787|diff: 0.075|Iset: 2.000|Ichg: 2.075|Idis: 2.368|Bavg: 1.373
00:12:44,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.792|diff: 0.070|Iset: 2.000|Ichg: 2.070|Idis: 2.363|Bavg: 1.372
00:12:52,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.743|diff: -0.018|Iset: 2.000|Ichg: 1.982|Idis: 2.349|Bavg: 1.372
00:13:00,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.626|diff: 0.090|Iset: 2.000|Ichg: 2.090|Idis: 2.349|Bavg: 1.371
00:13:08,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.626|diff: 0.051|Iset: 2.000|Ichg: 2.051|Idis: 2.329|Bavg: 1.371
00:13:16,1,1,1970|CHG|PWM: 24|Batt: 1.367|Load: 1.782|diff: -0.071|Iset: 2.000|Ichg: 1.929|Idis: 2.344|Bavg: 1.371
00:13:24,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.841|diff: 0.090|Iset: 2.000|Ichg: 2.090|Idis: 2.334|Bavg: 1.371
