00:11:23,1,1,1970|CHG|PWM: 19|Batt: 1.328|Load: 1.699|diff: 0.144|ISet: 2.000|I: 2.144
00:11:30,1,1,1970|CHG|PWM: 19|Batt: 1.328|Load: 1.680|diff: -0.091|ISet: 2.000|I: 1.909
00:11:37,1,1,1970|CHG|PWM: 18|Batt: 1.328|Load: 1.655|diff: -0.169|ISet: 2.000|I: 1.831
00:11:43,1,1,1970|CHG|PWM: 18|Batt: 1.323|Load: 1.665|diff: -0.086|ISet: 2.000|I: 1.914
00:11:50,1,1,1970|CHG|PWM: 18|Batt: 1.338|Load: 1.670|diff: -0.081|ISet: 2.000|I: 1.919
00:11:57,1,1,1970|CHG|PWM: 18|Batt: 1.328|Load: 1.665|diff: -0.164|ISet: 2.000|I: 1.836
00:12:04,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.567|diff: -0.018|ISet: 2.000|I: 1.982
00:12:11,1,1,1970|CHG|PWM: 18|Batt: 1.328|Load: 1.567|diff: -0.027|ISet: 2.000|I: 1.973
00:12:17,1,1,1970|CHG|PWM: 19|Batt: 1.328|Load: 1.680|diff: -0.003|ISet: 2.000|I: 1.997
00:12:24,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.567|diff: -0.032|ISet: 2.000|I: 1.968
00:12:31,1,1,1970|CHG|PWM: 19|Batt: 1.328|Load: 1.680|diff: 0.007|ISet: 2.000|I: 2.007
00:12:38,1,1,1970|CHG|PWM: 18|Batt: 1.328|Load: 1.567|diff: -0.037|ISet: 2.000|I: 1.963
00:12:44,1,1,1970|CHG|PWM: 19|Batt: 1.333|Load: 1.582|diff: 0.065|ISet: 2.000|I: 2.065
00:12:51,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.665|diff: -0.086|ISet: 2.000|I: 1.914
00:12:58,1,1,1970|CHG|PWM: 19|Batt: 1.328|Load: 1.582|diff: 0.056|ISet: 2.000|I: 2.056
00:13:05,1,1,1970|CHG|PWM: 19|Batt: 1.328|Load: 1.675|diff: 0.007|ISet: 2.000|I: 2.007
00:13:11,1,1,1970|CHG|PWM: 19|Batt: 1.333|Load: 1.680|diff: -0.003|ISet: 2.000|I: 1.997
00:13:18,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.577|diff: -0.018|ISet: 2.000|I: 1.982
00:13:25,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.660|diff: -0.169|ISet: 2.000|I: 1.831
00:13:32,1,1,1970|CHG|PWM: 19|Batt: 1.333|Load: 1.675|diff: -0.086|ISet: 2.000|I: 1.914
00:13:39,1,1,1970|CHG|PWM: 19|Batt: 1.333|Load: 1.689|diff: 0.017|ISet: 2.000|I: 2.017
00:13:45,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.660|diff: -0.169|ISet: 2.000|I: 1.831
00:13:52,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.675|diff: -0.086|ISet: 2.000|I: 1.914
00:13:59,1,1,1970|CHG|PWM: 19|Batt: 1.328|Load: 1.680|diff: -0.003|ISet: 2.000|I: 1.997
00:14:06,1,1,1970|CHG|PWM: 19|Batt: 1.333|Load: 1.577|diff: 0.046|ISet: 2.000|I: 2.046
00:14:12,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.572|diff: -0.018|ISet: 2.000|I: 1.982
00:14:19,1,1,1970|CHG|PWM: 19|Batt: 1.333|Load: 1.685|diff: 0.002|ISet: 2.000|I: 2.002
00:14:26,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.665|diff: -0.174|ISet: 2.000|I: 1.826
00:14:33,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.660|diff: -0.169|ISet: 2.000|I: 1.831
00:14:39,1,1,1970|CHG|PWM: 19|Batt: 1.333|Load: 1.685|diff: -0.013|ISet: 2.000|I: 1.987
00:14:46,1,1,1970|CHG|PWM: 20|Batt: 1.333|Load: 1.689|diff: -0.022|ISet: 2.000|I: 1.978
00:14:53,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.572|diff: -0.037|ISet: 2.000|I: 1.963
00:15:00,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.592|diff: 0.046|ISet: 2.000|I: 2.046
00:15:07,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.675|diff: -0.096|ISet: 2.000|I: 1.904
00:15:13,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.685|diff: -0.003|ISet: 2.000|I: 1.997
00:15:20,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.665|diff: -0.174|ISet: 2.000|I: 1.826
00:15:27,1,1,1970|CHG|PWM: 19|Batt: 1.333|Load: 1.685|diff: -0.013|ISet: 2.000|I: 1.987
00:15:34,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.670|diff: -0.154|ISet: 2.000|I: 1.846
00:15:40,1,1,1970|CHG|PWM: 20|Batt: 1.338|Load: 1.685|diff: -0.022|ISet: 2.000|I: 1.978
00:15:47,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.572|diff: -0.037|ISet: 2.000|I: 1.963
00:15:54,1,1,1970|CHG|PWM: 18|Batt: 1.338|Load: 1.665|diff: -0.174|ISet: 2.000|I: 1.826
00:16:01,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.597|diff: 0.046|ISet: 2.000|I: 2.046
00:16:07,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.572|diff: -0.037|ISet: 2.000|I: 1.963
00:16:14,1,1,1970|CHG|PWM: 18|Batt: 1.338|Load: 1.680|diff: -0.174|ISet: 2.000|I: 1.826
00:16:21,1,1,1970|CHG|PWM: 18|Batt: 1.338|Load: 1.675|diff: -0.096|ISet: 2.000|I: 1.904
00:16:28,1,1,1970|CHG|PWM: 18|Batt: 1.338|Load: 1.675|diff: -0.091|ISet: 2.000|I: 1.909
00:16:34,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.680|diff: -0.101|ISet: 2.000|I: 1.899
00:16:41,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.685|diff: -0.013|ISet: 2.000|I: 1.987
00:16:48,1,1,1970|CHG|PWM: 18|Batt: 1.338|Load: 1.699|diff: 0.046|ISet: 2.000|I: 2.046
00:16:55,1,1,1970|CHG|PWM: 18|Batt: 1.338|Load: 1.699|diff: 0.041|ISet: 2.000|I: 2.041
00:17:02,1,1,1970|CHG|PWM: 18|Batt: 1.353|Load: 1.582|diff: -0.003|ISet: 2.000|I: 1.997
00:17:08,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.689|diff: -0.018|ISet: 2.000|I: 1.982
00:17:15,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.689|diff: -0.018|ISet: 2.000|I: 1.982
00:17:22,1,1,1970|CHG|PWM: 20|Batt: 1.338|Load: 1.597|diff: 0.129|ISet: 2.000|I: 2.129
00:17:29,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.587|diff: 0.051|ISet: 2.000|I: 2.051
00:17:35,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.587|diff: 0.041|ISet: 2.000|I: 2.041
00:17:42,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.587|diff: 0.041|ISet: 2.000|I: 2.041
00:17:49,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.680|diff: -0.105|ISet: 2.000|I: 1.895
00:17:56,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.675|diff: -0.179|ISet: 2.000|I: 1.821
00:18:02,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.577|diff: -0.027|ISet: 2.000|I: 1.973
00:18:09,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.689|diff: -0.018|ISet: 2.000|I: 1.982
00:18:16,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.587|diff: 0.046|ISet: 2.000|I: 2.046
00:18:23,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.582|diff: -0.042|ISet: 2.000|I: 1.958
00:18:30,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.694|diff: -0.101|ISet: 2.000|I: 1.899
00:18:36,1,1,1970|CHG|PWM: 19|Batt: 1.338|Load: 1.709|diff: 0.129|ISet: 2.000|I: 2.129
00:18:43,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.587|diff: -0.042|ISet: 2.000|I: 1.958
00:18:50,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.582|diff: -0.032|ISet: 2.000|I: 1.968
00:18:57,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.582|diff: -0.047|ISet: 2.000|I: 1.953
00:19:03,1,1,1970|CHG|PWM: 20|Batt: 1.348|Load: 1.704|diff: 0.061|ISet: 2.000|I: 2.061
00:19:10,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.680|diff: -0.076|ISet: 2.000|I: 1.924
00:19:17,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.709|diff: -0.013|ISet: 2.000|I: 1.987
00:19:24,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.606|diff: 0.036|ISet: 2.000|I: 2.036
00:19:30,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.587|diff: 0.041|ISet: 2.000|I: 2.041
00:19:37,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.694|diff: -0.091|ISet: 2.000|I: 1.909
00:19:44,1,1,1970|CHG|PWM: 20|Batt: 1.353|Load: 1.704|diff: 0.075|ISet: 2.000|I: 2.075
00:19:51,1,1,1970|CHG|PWM: 20|Batt: 1.348|Load: 1.729|diff: 0.212|ISet: 2.000|I: 2.212
00:19:58,1,1,1970|CHG|PWM: 20|Batt: 1.348|Load: 1.694|diff: -0.037|ISet: 2.000|I: 1.963
00:20:04,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.694|diff: -0.018|ISet: 2.000|I: 1.982
00:20:11,1,1,1970|CHG|PWM: 19|Batt: 1.353|Load: 1.611|diff: 0.041|ISet: 2.000|I: 2.041
00:20:18,1,1,1970|CHG|PWM: 18|Batt: 1.348|Load: 1.582|diff: -0.037|ISet: 2.000|I: 1.963
00:20:25,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.680|diff: -0.101|ISet: 2.000|I: 1.899
00:20:31,1,1,1970|CHG|PWM: 18|Batt: 1.353|Load: 1.719|diff: 0.061|ISet: 2.000|I: 2.061
00:20:38,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.587|diff: -0.032|ISet: 2.000|I: 1.968
00:20:45,1,1,1970|CHG|PWM: 20|Batt: 1.348|Load: 1.729|diff: 0.207|ISet: 2.000|I: 2.207
00:20:52,1,1,1970|CHG|PWM: 19|Batt: 1.343|Load: 1.699|diff: -0.110|ISet: 2.000|I: 1.890
00:20:58,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.592|diff: 0.031|ISet: 2.000|I: 2.031
00:21:05,1,1,1970|CHG|PWM: 18|Batt: 1.348|Load: 1.675|diff: -0.174|ISet: 2.000|I: 1.826
00:21:12,1,1,1970|CHG|PWM: 18|Batt: 1.343|Load: 1.704|diff: 0.046|ISet: 2.000|I: 2.046
00:21:19,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.592|diff: 0.036|ISet: 2.000|I: 2.036
00:21:26,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.611|diff: 0.056|ISet: 2.000|I: 2.056
00:21:32,1,1,1970|CHG|PWM: 18|Batt: 1.357|Load: 1.680|diff: -0.184|ISet: 2.000|I: 1.816
00:21:39,1,1,1970|CHG|PWM: 19|Batt: 1.353|Load: 1.694|diff: -0.022|ISet: 2.000|I: 1.978
00:21:46,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.592|diff: 0.036|ISet: 2.000|I: 2.036
00:21:53,1,1,1970|CHG|PWM: 20|Batt: 1.353|Load: 1.709|diff: 0.056|ISet: 2.000|I: 2.056
00:21:59,1,1,1970|CHG|PWM: 19|Batt: 1.353|Load: 1.689|diff: -0.115|ISet: 2.000|I: 1.885
00:22:06,1,1,1970|CHG|PWM: 18|Batt: 1.357|Load: 1.592|diff: -0.052|ISet: 2.000|I: 1.948
00:22:13,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.699|diff: -0.032|ISet: 2.000|I: 1.968
00:22:20,1,1,1970|CHG|PWM: 18|Batt: 1.357|Load: 1.587|diff: -0.057|ISet: 2.000|I: 1.943
00:22:26,1,1,1970|CHG|PWM: 18|Batt: 1.353|Load: 1.689|diff: -0.110|ISet: 2.000|I: 1.890
00:22:33,1,1,1970|CHG|PWM: 20|Batt: 1.353|Load: 1.729|diff: 0.202|ISet: 2.000|I: 2.202
00:22:40,1,1,1970|CHG|PWM: 19|Batt: 1.362|Load: 1.592|diff: 0.031|ISet: 2.000|I: 2.031
00:22:47,1,1,1970|CHG|PWM: 19|Batt: 1.362|Load: 1.602|diff: 0.051|ISet: 2.000|I: 2.051
00:22:54,1,1,1970|CHG|PWM: 19|Batt: 1.353|Load: 1.597|diff: 0.026|ISet: 2.000|I: 2.026
00:23:00,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.689|diff: -0.120|ISet: 2.000|I: 1.880
00:23:07,1,1,1970|CHG|PWM: 19|Batt: 1.353|Load: 1.592|diff: 0.031|ISet: 2.000|I: 2.031
00:23:14,1,1,1970|CHG|PWM: 20|Batt: 1.353|Load: 1.709|diff: 0.051|ISet: 2.000|I: 2.051
00:23:21,1,1,1970|CHG|PWM: 20|Batt: 1.357|Load: 1.753|diff: 0.202|ISet: 2.000|I: 2.202
00:23:27,1,1,1970|CHG|PWM: 19|Batt: 1.353|Load: 1.694|diff: -0.027|ISet: 2.000|I: 1.973
00:23:34,1,1,1970|CHG|PWM: 19|Batt: 1.348|Load: 1.689|diff: -0.115|ISet: 2.000|I: 1.885
00:23:41,1,1,1970|CHG|PWM: 18|Batt: 1.357|Load: 1.592|diff: -0.022|ISet: 2.000|I: 1.978
00:23:48,1,1,1970|CHG|PWM: 19|Batt: 1.353|Load: 1.602|diff: 0.026|ISet: 2.000|I: 2.026
00:23:54,1,1,1970|CHG|PWM: 19|Batt: 1.357|Load: 1.704|diff: -0.032|ISet: 2.000|I: 1.968
00:24:01,1,1,1970|CHG|PWM: 19|Batt: 1.353|Load: 1.597|diff: 0.026|ISet: 2.000|I: 2.026
00:24:08,1,1,1970|CHG|PWM: 18|Batt: 1.353|Load: 1.592|diff: -0.042|ISet: 2.000|I: 1.958
00:24:15,1,1,1970|CHG|PWM: 18|Batt: 1.357|Load: 1.587|diff: -0.047|ISet: 2.000|I: 1.953
